Site,Participant_ID,RowNumber,session_id,attention,backcount1,backcount10,backcount2,backcount3,backcount4,backcount5,backcount6,backcount7,backcount8,backcount9,bestgrade3,bestgrade4,bestgrade5,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,elm_01,elm_02,elm_03,elm_04,elm_05,ethnicity,feedback,gender,instructbig5,instructintrinsic,instructmli,instructnfc,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,kposition,lposition,mcdv1,mcdv2,mcfiller1,mcfiller2,mcfiller3,mcmost1,mcmost2,mcmost3,mcmost4,mcmost5,mcsome1,mcsome2,mcsome3,mcsome4,mcsome5,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,nposition,pate_01,pate_02,pate_03,pate_04,pate_05,rposition,sarcasm,selfesteem_01,stress_01,stress_02,stress_03,stress_04,tempest2,tempest3,tempfollowup1,tempfollowup2,tempfollowup3,vposition,worstgrade3,worstgrade4,worstgrade5,year,Station,Date.x,Experimenter,Temperatureinlab,OrderofTasks,ClipboardWeight,IIResponse,SRCondition,SRMeetingResponse,SRConfidenceResponse,SRTFCorrect,Notes,StartDate.x,EndDate,NumberofDays,Pool1,Pool2a,Pool2b,Pool2c,Pool2d,Pool2e,Pool3,Pool4,Pool5a,Pool5b,Pool6,Pool7a,Pool7b,Pool7c,Pool7d,Pool7e,Pool8,Pool9,Pool10,Pool11,Pool12,Pool13,Pool14,Pool15,Pool16a,Pool16b,Pool16c,Pool17,Pool18,Pool19a,Pool19b,Pool20,ClipBoardMaterial,Persistence,anagrams_order,attention_order,availinstruct_order,availk_order,availl_order,availn_order,availr_order,availv_order,bestgrade_order,bigfive_order,compcode_order,consent_order,debrief_order,demographics_order,elmques_order,elmstrong_order,elmweak_order,filler1_order,filler2_order,galinskyvignette_order,highpower_order,inlab_order,intrinsic_order,lowpower_order,mcfiller_order,mcmost_order,mcsome_order,moninvignette_order,mood_order,nfc_order,participantid_order,participation_order,selfesteem_order,startpage_order,stress_order,stroop_order,stroopinstructions_order,stroopinstructionstest_order,stroopprac_order,tempagenf_order,tempagenm_order,tempcomf_order,tempcomm_order,tempestimate_order,tempfollowup_order,welcome_order,worstgrade_order,session_date,DateComputer,TimeComputer,MonthComputer,DayComputer,YearComputer,DaysSinceMonthComputer,DaysSinceAugComputer,Date.y,MonthLab,DayLab,YearLab,DaysSinceMonthLab,DaysSinceAugLab,StartDate.y,MonthStart,DayStart,YearStart,DaysSinceMonthStart,DaysSinceAugStart,DaysInComp,DaysInLab,AttentionCheck,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Intrinsic,Mood,NFC,ReportedAttention,ReportedEffort,SelfEsteem,Stress,PowerCond,MostEndorse,SomeEndorse,CredCond,Genderfactor,SubDistCond,K1st,L1st,N1st,R1st,V1st,AvailFirst,AvailSign,TempCond4,TempCond,TargetGender,ArgumentQuality,NFCcenter,ELMCond,CBReject
NovaSoutheasternUniversity,37,578,7435270,5,357,330,354,351,348,345,342,339,336,333,-9,5,0,4,4,7,1,7,4,4,1,7,3,3,1,5,5,5,2,This Stroop task has no feedback,1,1,1,1,1,2,2,3,2,2,2,4,4,4,4,4,3,4,1,4,2,1,0,3,1,0,1,8,0,-1,-1,0,2,2,1,1,1,4,4,4,3,5,3,2,3,1,4,4,1,1,2,1,5,5,1,5,2,5,4,4,7,7,2,1,1,1,7,1,9,9/22/14,Candace S,76,II-SR,10,7,a,Friday,5,Yes,leaned against wall,8/25/14,12/5/14,102,1,1,1,1,0,0,5,0.5,0,5,0,1,1,0,0,0,1,1,1,3,20,360,480,80,1,0,0,3,1,1,0.1,"In case you need some history regarding our pool: As of Fall 2013, students in Intro. Psych. are required to complete 5 credit hours during the semester.  For about a year prior to Fall 2013, students were required to complete 2 credit hours.  For about 4 years prior to that, students were required to complete 1 credit hour.  We started our participant pool in Fall 2008.",Plastic,116.0000007,12,27,20,22,23,21,24,25,15,33,NA,NA,36,35,18,17,16,3,4,5,2,19,34,2,10,9,9,11,31,32,37,29,28,0,30,16,13,15,14,16,23,23,6,8,7,1,26,9/22/14 16:30,9/22/14,16:30,9,22,14,31,53,9/22/14,9,22,14,31,53,8/25/14,8,25,14,0,25,0.274509804,0.274509804,Pass,6,7,4,4,1,2.866666667,4,2.666666667,4,4,5,2.75,LowPower,1,2,NoCredentials,Female,WorstGrade,0,1,1,1,1,4,+,CommunalMale,Communal,MaleTarget,3.8,-0.515873016,1,0
NovaSoutheasternUniversity,138,2441,7616703,4,357,330,354,351,348,345,342,339,336,333,3,3,0,6,6,6,5,7,3,6,2,5,7,9,9,9,8,9,5,This Stroop task has no feedback,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,2,1,0,3,1,0,1,8,0,-1,-1,0,2,1,1,1,1,3,3,1,4,4,4,4,3,1,4,3,1,1,5,1,3,5,5,2,3,4,5,3,7,7,6,1,1,5,7,1,9,12/5/14,Elizabeth,78,II-SR,20,7,c,Monday,5,n/a,leaned against the table,8/25/14,12/5/14,102,1,1,1,1,0,0,5,0.5,0,3,0,1,1,0,0,0,1,1,1,3,20,360,480,80,1,0,0,3,1,1,0.1,"In case you need some history regarding our pool: As of Fall 2013, students in Intro. Psych. are required to complete 5 credit hours during the semester.  For about a year prior to Fall 2013, students were required to complete 2 credit hours.  For about 4 years prior to that, students were required to complete 1 credit hour.  We started our participant pool in Fall 2008.",Plastic,58.00000036,21,33,12,14,13,15,17,16,10,28,NA,NA,36,35,3,2,2,6,7,8,5,26,31,5,10,9,9,11,29,27,37,34,32,0,30,25,22,24,23,20,8,23,18,20,19,1,4,12/5/14 13:07,12/5/14,13:07,12,5,14,122,127,12/5/14,12,5,14,122,127,8/25/14,8,25,14,0,25,1,1,Fail,4,6,5.5,4,4,3,5,2.666666667,4,3,5,4,LowPower,1,1,NoCredentials,Female,WorstGrade,0,1,1,1,1,4,+,CommunalMale,Communal,MaleTarget,8.8,-0.515873016,1,0
BradleyUniversity,71,1258,7502257,5,357,330,354,351,348,345,342,339,336,333,0,4,0,6,6,6,5,6,2,5,2,6,2,8,7,5,7,6,6,This Stroop task has no feedback,2,1,1,1,1,4,4,3,4,2,2,2,4,4,4,2,3,3,3,4,1,1,3,2,3,1,3,8,0,-1,-1,0,1,1,1,1,1,3,3,4,1,2,4,4,2,2,4,4,2,1,6,1,6,6,2,4,4,4,6,3,7,6,4,2,10,1,2,1,61,10/21/14,jk,111,SR-II,10,2,c,Monday,5,N/A,"asked question about computer portion, leaned against wall, finished 3:52",8/28/14,12/9/14,103,1,0,1,0,0,0,6,0.25,0,3,0,1,0,0,0,0,0,0,0,1,8,275,0,148,1,1,0,3,0,1,0.125,"We have course assistants that record participation points, but we don_t have anyone overseeing the participant pool overall, so no one allocates hours to researchers. It operates on a _first come, first served_ basis. Our psychology program is solely undergraduate, so most users are either faculty with undergrad research assistants and honors students running their projects.",Plastic,240.0000014,16,28,6,7,11,9,10,8,18,29,NA,NA,36,35,25,24,24,3,4,5,2,26,34,2,14,13,13,15,30,33,37,27,32,0,31,20,17,19,18,20,23,23,21,23,22,1,12,10/21/14 16:02,10/21/14,16:02,10,21,14,61,82,10/21/14,10,21,14,61,82,8/28/14,8,28,14,0,28,0.524271845,0.524271845,Pass,6,6,6,3.5,3.5,3.333333333,5,4.166666667,4,4,6,2.5,LowPower,1,0,NoCredentials,Male,WorstGrade,1,1,0,1,0,3,+,CommunalMale,Communal,MaleTarget,6.6,0.984126984,1,0
MiamiUniversity,84,1986,7571104,2,357,330,354,351,348,345,342,339,336,333,0,5,1,5,3,5,2,5,1,6,4,5,2,6,5,7,9,6,6,This Stroop task has no feedback,2,0,0,1,1,2,2,1,2,1,2,2,2,3,3,3,2,3,2,3,1,2,1,1,2,2,1,8,0,-1,-1,0,1,2,1,1,1,2,2,2,4,3,2,4,4,2,3,3,1,1,4,1,5,6,1,4,4,3,4,3,6,6,5,1,4,1,6,1,-24,11/19/14,CG,70,SR-II,20,6,C,Monday,5,N/A,Participant wore backpack during the written portion,9/2/14,12/5/14,94,1,1,1,0,1,0,12,0.5,1,3,0,1,0,0,0,0,0,1,1,2,100,650,7800,100,1,0,0,3,1,0,-1,Participants can receive credit at the beginning of the semester for taking part in the _mass survey_. This is a large survey given to students at the beginning of the semester as a way to pre-test participants. ,Metal,90.00000281,26,32,18,19,20,23,22,21,14,34,NA,NA,36,35,25,24,24,3,4,5,2,11,33,2,13,12,12,14,27,29,37,31,28,0,30,10,7,9,8,9,24,24,15,17,16,1,6,11/19/14 16:25,11/19/14,16:25,11,19,14,92,111,11/19/14,11,19,14,92,111,9/2/14,9,2,14,31,33,0.829787234,0.829787234,Fail,5.5,4.5,6,5.5,2.5,2.333333333,6,2.5,3,3,6,2,LowPower,1,1,NoCredentials,Male,WorstGrade,1,0,0,1,1,3,+,CommunalMale,Communal,MaleTarget,6.6,-0.682539683,1,0
PennStateAbington,96,2229,7603894,4,357,330,354,351,348,345,342,339,336,333,4,3,0,7,4,7,5,4,1,7,2,4,3,5,3,4,4,5,6,This Stroop task has no feedback,1,1,1,1,1,2,4,1,3,3,3,2,3,3,4,3,3,4,2,4,2,1,1,2,1,0,1,8,0,-1,-1,0,2,2,2,1,2,2,1,4,2,2,2,5,3,2,4,4,1,1,3,1,5,6,2,5,3,5,6,4,7,7,6,2,4,2,6,1,-34,12/2/14,JMM,69,II-SR,10,6,A,Friday,5,No (Missed 1),Participant leaned,8/24/14,12/1/14,99,1,1,0,1,0,0,3,0.5,1,3,0,1,0,1,0,0,0,1,1,2,10,350,850,50,1,0,0,3,1,1,0.1,"In case you need some history regarding our pool: As of Fall 2013, students in Intro. Psych. are required to complete 5 credit hours during the semester.  For about a year prior to Fall 2013, students were required to complete 2 credit hours.  For about 4 years prior to that, students were required to complete 1 credit hour.  We started our participant pool in Fall 2008.",Plastic,174.0000011,20,29,21,25,24,26,23,22,9,28,NA,NA,36,35,11,10,10,14,15,16,13,12,32,13,8,7,7,9,27,33,37,30,31,0,34,6,3,5,4,13,8,5,17,19,18,1,2,12/2/14 14:26,12/2/14,14:26,12,2,14,122,124,12/2/14,12,2,14,122,124,8/24/14,8,24,14,0,24,1.01010101,1.01010101,Pass,4.5,6.5,7,5.5,4.5,2.933333333,6.5,3.666666667,4,4,6,2.75,LowPower,1,4,NoCredentials,Female,WorstGrade,0,1,0,1,0,2,-,CommunalMale,Communal,MaleTarget,4.2,0.484126984,1,0
UniversityOfFlorida,130,2379,7612669,4,357,330,354,351,348,345,342,339,336,333,-3,3,0,4,4,3,5,6,4,3,6,6,5,6,6,6,7,6,6,This Stroop task has no feedback,2,1,1,1,1,2,2,2,3,2,2,2,2,3,3,4,2,2,3,4,2,1,0,1,2,0,2,8,0,-1,-1,0,1,2,2,2,1,4,4,2,2,2,3,4,3,1,2,4,1,1,4,2,5,3,4,2,2,4,3,2,6,6,4,1,7,3,8,2,4,12/4/14,DM,75,II-SR,20,6,B,Monday,4,Yes,Participant placed clipboard down on the table to complete,8/27/14,12/12/14,107,1,1,0,0,0,0,4,0.5,0,3,0,1,0,0,0,0,0,1,1,2,26,600,2500,140,1,0,0,1,1,1,0.33,"We draw from 8 courses, and this is a fairly small and tightknit campus and student community.  I imagine we have more than the typical amount of participant _cross-talk_, meaning the undesirable discussion of studies, although I doubt that is critical for this project.",Plastic,48.99999762,5,29,16,18,19,17,20,21,9,30,NA,NA,36,35,7,6,6,9,10,11,8,22,31,8,3,2,2,4,27,33,37,32,28,0,34,26,23,25,24,23,3,15,12,14,13,1,15,12/4/14 14:04,12/4/14,14:04,12,4,14,122,126,12/4/14,12,4,14,122,126,8/27/14,8,27,14,0,27,0.925233645,0.925233645,Pass,4.5,2.5,4,3.5,3.5,2.666666667,4,3.333333333,2,4,3,4,LowPower,1,3,NoCredentials,Male,WorstGrade,0,1,1,0,1,3,+,CommunalMale,Communal,MaleTarget,6.2,0.150793651,1,1
UniversityOfVirginia,127,1489,7527605,1,357,330,354,351,348,345,342,339,336,333,3,3,0,6,3,5,2,6,3,7,5,4,4,6,5,6,5,5,6,This Stroop task has no feedback,1,1,1,1,1,3,2,2,2,2,3,3,3,2,4,4,2,2,2,3,1,1,0,2,4,1,1,8,0,-1,-1,0,1,2,2,1,1,4,2,2,4,4,2,4,3,1,4,4,1,1,3,2,5,3,1,2,1,5,6,4,7,7,5,1,5,3,7,1,41,10/29/14,MJ,74,II-SR,10,7,A,Monday,4,Yes,Leaned on wall,9/1/14,12/5/14,95,1,1,0,0,0,0,6,0.5,0,3,0,1,1,0,0,0,0,1,1,4,68,520,3120,500,1,0,0,1,0,1,0.09,Participants can receive credit at the beginning of the semester for taking part in the _mass survey_. This is a large survey given to students at the beginning of the semester as a way to pre-test participants. ,Metal,203.9999993,2,32,5,8,10,6,9,7,9,29,NA,NA,36,35,20,19,18,16,17,18,14,3,33,15,22,20,21,23,27,31,37,34,30,0,28,14,11,13,12,17,23,6,24,26,25,1,4,10/29/14 14:05,10/29/14,14:05,10,29,14,61,90,10/29/14,10,29,14,61,90,9/1/14,9,1,14,31,32,0.610526316,0.610526316,Fail,5,4,5.5,6,3,2.466666667,5,2.5,4,4,3,3.75,LowPower,1,2,NoCredentials,Female,WorstGrade,1,1,1,0,1,4,+,CommunalMale,Communal,MaleTarget,5.4,-0.682539683,1,0
UniversityOfVirginia,132,1553,7531954,1,357,330,354,351,348,345,342,339,336,333,-6,4,0,3,4,6,3,6,3,5,3,6,4,7,7,8,8,8,2,This Stroop task has no feedback,2,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,1,2,1,2,1,0,1,8,0,-1,-1,0,1,1,2,1,1,3,2,4,2,3,3,4,3,2,3,3,1,1,2,2,4,5,2,4,4,2,7,3,6,7,5,2,7,3,3,1,41,10/31/14,DK,72,II-SR,20,5,C,Friday,4,N/A,,9/1/14,12/5/14,95,1,1,0,0,0,0,6,0.5,0,3,0,1,1,0,0,0,0,1,1,4,68,520,3120,500,1,0,0,1,0,1,0.09,"In case you need some history regarding our pool: As of Fall 2013, students in Intro. Psych. are required to complete 5 credit hours during the semester.  For about a year prior to Fall 2013, students were required to complete 2 credit hours.  For about 4 years prior to that, students were required to complete 1 credit hour.  We started our participant pool in Fall 2008.",Metal,143.0000007,22,29,2,4,5,7,6,3,15,28,NA,NA,36,35,13,12,12,24,25,26,23,20,33,23,18,16,17,19,31,32,37,34,30,0,27,11,8,10,9,20,3,6,14,16,15,1,21,10/31/14 10:31,10/31/14,10:31,10,31,14,61,92,10/31/14,10,31,14,61,92,9/1/14,9,1,14,31,32,0.631578947,0.631578947,Fail,5,5.5,4,4.5,2.5,2.733333333,5.5,3.5,3,3,5,2,LowPower,1,1,NoCredentials,Male,WorstGrade,1,0,0,0,0,1,-,CommunalMale,Communal,MaleTarget,7.6,0.317460317,1,0
UniversityOfVirginia,46,670,7444329,5,357,330,354,351,348,345,342,339,336,333,-9,5,0,3,6,5,6,6,5,5,3,2,3,4,3,6,3,4,6,This Stroop task has no feedback,1,1,1,1,1,3,3,3,4,4,2,2,4,2,4,4,2,3,3,3,2,2,0,2,1,1,1,8,0,-1,-1,0,1,2,2,1,1,3,2,5,1,2,4,4,1,2,4,4,1,1,2,1,5,5,5,3,3,5,5,2,6,6,4,2,10,4,8,3,41,9/25/14,DK,71,II-SR,20,6,B,Friday,4,Yes,,9/1/14,12/5/14,95,1,1,0,0,0,0,6,0.5,0,3,0,1,1,0,0,0,0,1,1,4,68,520,3120,500,1,0,0,1,0,1,0.09,Participants can receive credit at the beginning of the semester for taking part in the _mass survey_. This is a large survey given to students at the beginning of the semester as a way to pre-test participants. ,Metal,159.9999953,8,30,2,5,3,7,4,6,14,32,NA,NA,36,35,19,18,18,11,12,13,9,9,31,10,24,22,23,25,27,28,37,29,34,0,33,17,14,16,15,23,23,6,20,22,21,1,26,9/25/14 14:14,9/25/14,14:14,9,25,14,31,56,9/25/14,9,25,14,31,56,9/1/14,9,1,14,31,32,0.252631579,0.252631579,Pass,5.5,5,3,3.5,6,3.2,5.5,4.5,4,4,5,4,LowPower,1,2,NoCredentials,Female,WorstGrade,0,0,0,1,0,1,-,CommunalMale,Communal,MaleTarget,4,1.317460317,1,0
UniversityOfVirginia,163,1844,7556961,5,357,330,354,351,348,345,342,339,336,333,-4,3,0,7,5,7,6,5,1,6,3,4,2,6,5,5,4,5,6,This Stroop task has no feedback,2,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,1,1,1,1,0,1,8,0,-1,-1,0,1,1,1,1,1,3,2,2,2,3,4,4,3,1,3,3,1,2,2,1,3,6,3,3,3,2,5,3,6,5,3,2,5,4,10,3,41,11/13/14,MJ,71,SR-II,10,6,A,Friday,5,"No, 1 wrong",,9/1/14,12/5/14,95,1,1,0,0,0,0,6,0.5,0,3,0,1,1,0,0,0,0,1,1,4,68,520,3120,500,1,0,0,1,0,1,0.09,Participants can receive credit at the beginning of the semester for taking part in the _mass survey_. This is a large survey given to students at the beginning of the semester as a way to pre-test participants. ,Metal,155.0000017,17,29,11,14,15,12,16,13,8,28,NA,NA,36,35,4,3,2,20,21,22,19,2,32,19,9,8,8,10,30,31,37,34,27,0,33,26,23,25,24,17,8,15,5,7,6,1,18,11/13/14 15:14,11/13/14,15:14,11,13,14,92,105,11/13/14,11,13,14,92,105,9/1/14,9,1,14,31,32,0.768421053,0.768421053,Pass,5.5,6,7,4.5,5,2.6,5.5,3.333333333,3,3,6,2.75,LowPower,1,0,NoCredentials,Male,WorstGrade,0,1,1,1,0,3,+,CommunalMale,Communal,MaleTarget,5,0.150793651,1,0
